id,date,num_of_events,value
15628,2010-12-08,1,319.18
15750,2010-12-08,2,340.52
17341,2010-12-08,1,513.6
16858,2010-12-08,1,-29.8
17690,2010-12-08,1,71.4
17511,2010-12-01,1,1825.74
13767,2010-12-01,1,507.88
15862,2010-12-01,1,354.23
16274,2010-12-01,1,357.95
17581,2010-12-02,2,786.78
13747,2010-12-01,1,79.6
12838,2010-12-01,1,390.79
18085,2010-12-01,1,303.9
13255,2010-12-01,1,225.7
15983,2010-12-01,1,440.89
15165,2010-12-01,1,487.75
13108,2010-12-02,1,350.06
17381,2010-12-02,2,1036.08
13011,2010-12-02,1,50.55
13798,2010-12-02,1,408
17238,2010-12-03,2,370.09
12748,2010-12-05,7,958.45
15525,2010-12-01,1,313.93
15922,2010-12-01,1,369.5
17855,2010-12-02,1,208.97
15658,2010-12-02,1,306.2
15111,2010-12-02,1,288.5
13767,2010-12-02,2,320.7
17685,2010-12-02,1,452.52
17460,2010-12-02,1,50.4
16754,2010-12-02,1,2002.4
14213,2010-12-03,1,-1192.2
13370,2010-12-03,1,754.87
17954,2010-12-03,2,98.83
12793,2010-12-03,1,131.8
18109,2010-12-05,1,277.45
16150,2010-12-02,1,393.42
17967,2010-12-03,1,123.07
14396,2010-12-03,1,110.35
17062,2010-12-05,1,179.64
16718,2010-12-05,1,623.75
13408,2010-12-02,1,-20.85
16393,2010-12-05,1,184.8
14081,2010-12-05,1,423.52
17428,2010-12-06,1,353
13094,2010-12-06,1,223.68
16719,2010-12-06,1,430.73
18113,2010-12-06,1,76.32
15602,2010-12-06,1,92.55
16086,2010-12-07,1,177.26
,2010-12-08,14,6141.16
,2010-12-01,16,12584.3
16752,2010-12-02,1,207.5
17460,2010-12-01,1,19.9
16546,2010-12-02,2,-583.68
13305,2010-12-02,1,136.2
12915,2010-12-02,1,199.65
14466,2010-12-02,1,379.75
15823,2010-12-02,1,15
14829,2010-12-02,1,236.97
13402,2010-12-02,1,308.28
16634,2010-12-02,1,164.8
14865,2010-12-02,1,37.2
,2010-12-03,44,23022
14527,2010-12-05,2,263.66
17377,2010-12-01,1,223.9
14142,2010-12-01,1,311.81
17732,2010-12-02,1,303.97
17873,2010-12-01,1,215.15
15738,2010-12-02,1,329.65
13117,2010-12-02,1,202.12
17235,2010-12-02,1,341.9
14449,2010-12-02,1,210.24
15640,2010-12-02,1,333.72
15646,2010-12-02,1,189.8
14573,2010-12-02,1,413.1
13408,2010-12-03,1,534
12686,2010-12-03,1,89.14
12841,2010-12-03,1,294.25
14589,2010-12-03,1,39.75
14680,2010-12-03,1,1680.88
15769,2010-12-03,1,91.8
15545,2010-12-03,1,135.33
14800,2010-12-05,1,555.84
16814,2010-12-05,1,273.29
17961,2010-12-02,1,127.55
12557,2010-12-03,1,620
12682,2010-12-03,1,336.24
12725,2010-12-03,1,427.8
15708,2010-12-05,2,342.36
13838,2010-12-05,1,238.11
14813,2010-12-05,2,155.43
14911,2010-12-03,1,1705.65
18055,2010-12-05,1,431.45
15332,2010-12-05,3,1598.06
16983,2010-12-05,1,163.49
17059,2010-12-05,1,722.36
16327,2010-12-05,1,535.6
17858,2010-12-05,1,251.25
15426,2010-12-05,1,411.42
12647,2010-12-05,2,372
14606,2010-12-01,1,198.32
15235,2010-12-01,1,79.5
15601,2010-12-02,1,768.38
15955,2010-12-02,1,572.38
14180,2010-12-02,1,201.75
16916,2010-12-02,1,198.08
16510,2010-12-02,1,248.1
16203,2010-12-02,1,170.7
14395,2010-12-02,1,308.68
18225,2010-12-03,1,-31.8
13013,2010-12-03,2,1528.34
17841,2010-12-03,2,333.84
16140,2010-12-03,1,124.14
15351,2010-12-05,2,261.28
12427,2010-12-03,1,303.5
13941,2010-12-03,1,-75.6
14810,2010-12-05,1,180.44
18118,2010-12-05,1,475.86
13831,2010-12-05,1,408
13506,2010-12-05,1,301.12
15716,2010-12-05,1,547.1
15221,2010-12-05,1,-289.15
17211,2010-12-05,1,273.3
14161,2010-12-05,1,283.15
15894,2010-12-05,1,156.74
17757,2010-12-02,1,143.45
12567,2010-12-05,1,1526.92
14606,2010-12-05,2,179.78
15953,2010-12-05,1,209.84
12720,2010-12-05,1,473.39
15502,2010-12-05,2,736.7
17677,2010-12-06,3,965
13652,2010-12-06,1,308.8
16161,2010-12-06,2,125.2
17381,2010-12-06,1,2567.64
18219,2010-12-06,1,210.19
16638,2010-12-06,1,50.4
16955,2010-12-06,1,33
12708,2010-12-06,1,196.44
14443,2010-12-06,1,303.5
13497,2010-12-06,2,126.5
15304,2010-12-06,1,123.15
15301,2010-12-06,1,673.37
14708,2010-12-06,1,419.06
14506,2010-12-05,1,269.7
12474,2010-12-06,1,-34
15078,2010-12-06,2,475.15
14911,2010-12-06,3,1182.5
17860,2010-12-06,1,252.8
17019,2010-12-06,1,358.82
14667,2010-12-06,1,511.56
16710,2010-12-06,1,375.47
16550,2010-12-06,2,545.61
17682,2010-12-06,1,391.5
13089,2010-12-06,2,2496.22
17223,2010-12-06,1,292.84
13030,2010-12-06,1,427.74
16654,2010-12-06,1,227.4
16861,2010-12-06,1,-22.11
14215,2010-12-06,1,166
13564,2010-12-06,1,540
15021,2010-12-07,1,-9.35
13963,2010-12-07,1,151.3
17450,2010-12-07,2,2028.84
17470,2010-12-07,1,178.4
17616,2010-12-07,1,326.4
14907,2010-12-07,1,618.07
17735,2010-12-07,1,454.6
16059,2010-12-07,1,118.25
15018,2010-12-07,1,111.25
12971,2010-12-07,1,111.54
17017,2010-12-07,1,511.8
13756,2010-12-07,1,532.8
17491,2010-12-07,1,327.4
12647,2010-12-07,1,596.8
17954,2010-12-07,2,0
15024,2010-12-07,2,491.22
15061,2010-12-07,1,2022.16
15858,2010-12-07,1,383.93
16293,2010-12-07,1,378.75
12347,2010-12-07,1,711.79
18102,2010-12-07,3,25920.37
17870,2010-12-08,1,326.4
12709,2010-12-08,1,522.7
14796,2010-12-08,2,669.26
13329,2010-12-08,1,304.2
13842,2010-12-08,1,310.57
12441,2010-12-08,1,173.55
13199,2010-12-08,1,468.68
16525,2010-12-08,1,411.44
14952,2010-12-08,1,-103
17975,2010-12-08,1,314.1
16558,2010-12-08,1,569.4
16893,2010-12-08,1,145.93
17677,2010-12-08,1,651.6
16016,2010-12-08,2,373.77
16713,2010-12-08,2,406.48
13113,2010-12-08,2,341.12
14217,2010-12-08,1,118.3
12712,2010-12-08,1,-12.75
17676,2010-12-08,1,300.7
15298,2010-12-08,1,397.6
15332,2010-12-08,1,63
13777,2010-12-08,2,255
13758,2010-12-08,1,356.4
14030,2010-12-08,2,676.5
15513,2010-12-09,1,956.5
14437,2010-12-09,1,63
15358,2010-12-09,2,624.55
12621,2010-12-09,1,464.61
15983,2010-12-09,1,382.66
17857,2010-12-09,1,1335.2
14440,2010-12-09,1,656.7
14606,2010-12-08,1,215.88
13649,2010-12-08,1,197.8
15996,2010-12-08,1,263.25
16782,2010-12-09,1,371.7
14479,2010-12-09,1,174.4
15181,2010-12-09,1,-4.95
15048,2010-12-06,1,98.7
16919,2010-12-06,1,198.35
16722,2010-12-06,1,480.68
17920,2010-12-06,1,221.5
16306,2010-12-07,1,68.1
17591,2010-12-07,1,406.6
15100,2010-12-07,1,-131.4
17213,2010-12-08,1,312.9
16679,2010-12-08,1,129.75
12766,2010-12-08,1,1149.29
15079,2010-12-09,1,141.95
18071,2010-12-09,1,258.95
15005,2010-12-08,1,222.5
15945,2010-12-09,1,181
15271,2010-12-09,1,111.75
17646,2010-12-09,1,251
15750,2010-12-09,1,-14.25
12748,2010-12-01,1,4.95
15260,2010-12-02,2,420.5
17069,2010-12-01,1,277.05
15694,2010-12-02,1,306.4
16042,2010-12-02,1,-24.95
18239,2010-12-02,1,438.1
17402,2010-12-05,2,459.97
18055,2010-12-07,1,569.03
13880,2010-12-07,1,97.8
14901,2010-12-08,2,151.95
12855,2010-12-02,1,38.1
14047,2010-12-02,1,286.92
18168,2010-12-02,2,246.35
13767,2010-12-05,1,806.28
16539,2010-12-01,1,442.35
16244,2010-12-02,1,1056.63
15107,2010-12-02,1,116
17976,2010-12-02,1,353.19
13138,2010-12-02,1,193.23
17228,2010-12-02,1,183.3
15834,2010-12-02,1,-23.85
15240,2010-12-03,1,-5.45
14210,2010-12-03,1,304.95
17949,2010-12-03,1,1314
17787,2010-12-03,1,736.28
16770,2010-12-02,1,130.8
13089,2010-12-05,1,734.4
16995,2010-12-02,1,-1.25
15465,2010-12-05,1,535.75
12600,2010-12-03,1,76.5
15889,2010-12-05,1,297.92
16143,2010-12-05,1,355.75
12763,2010-12-05,1,320.08
17965,2010-12-05,1,37.35
12586,2010-12-06,1,-17
12808,2010-12-06,1,129.4
15039,2010-12-06,1,611.51
12472,2010-12-05,1,1631.3
15028,2010-12-06,1,185.97
14487,2010-12-06,2,112.35
17757,2010-12-06,1,149
15356,2010-12-06,1,150.22
17320,2010-12-06,1,450.92
16782,2010-12-06,1,-5.95
14850,2010-12-07,1,-47.6
17720,2010-12-07,1,102
17675,2010-12-07,2,541.52
13769,2010-12-07,1,322.3
17419,2010-12-07,2,374.27
16775,2010-12-07,1,231.9
15965,2010-12-07,1,156.19
12839,2010-12-07,1,402.61
13807,2010-12-07,1,112.6
16779,2010-12-08,1,356.91
17406,2010-12-08,1,702.1
16081,2010-12-08,1,157.6
17722,2010-12-08,1,910.14
17894,2010-12-08,1,106.77
14618,2010-12-08,1,-14.85
17999,2010-12-08,1,190.34
16722,2010-12-08,1,318.84
15694,2010-12-09,1,525.93
13319,2010-12-09,2,759.28
17377,2010-12-09,1,364.4
12712,2010-12-09,1,295.1
,2010-12-09,51,15354.28
18041,2010-12-09,1,205.35
14344,2010-12-07,1,17.85
14051,2010-12-08,1,623.42
14388,2010-12-08,1,-13.45
16700,2010-12-08,1,336.94
16717,2010-12-08,1,307.25
13854,2010-12-09,1,309.4
17324,2010-12-08,1,127.05
17430,2010-12-09,1,112.6
13982,2010-12-09,1,428.6
17816,2010-12-09,1,16.21
17671,2010-12-09,1,394.18
17135,2010-12-03,1,215.58
16168,2010-12-05,1,275.8
15987,2010-12-06,1,113.48
14673,2010-12-07,1,373.49
15002,2010-12-07,1,631.65
16365,2010-12-07,1,139.86
13267,2010-12-08,2,314.55
12429,2010-12-09,1,1281.5
18092,2010-12-09,1,1485.72
14896,2010-12-09,1,257.22
15311,2010-12-09,1,272.36
12649,2010-12-09,1,-19.8
14766,2010-12-09,1,-20.4
18230,2010-12-09,1,-6.75
16499,2010-12-09,1,-17.9
12682,2010-12-09,1,739.05
15279,2010-12-09,1,-13.1
17950,2010-12-09,3,253.09
16781,2010-12-09,1,-16.6
12826,2010-12-09,1,155
16817,2010-12-09,1,-42.5
17838,2010-12-09,1,218.4
15555,2010-12-09,1,620.35
17576,2010-12-09,1,119.65
14713,2010-12-09,1,298.95
13969,2010-12-09,1,317.59
17530,2010-12-09,1,300.64
15805,2010-12-10,1,370.8
15061,2010-12-10,4,5915.28
17912,2010-12-10,2,105.15
14667,2010-12-10,2,487.99
16656,2010-12-10,1,428.76
12748,2010-12-10,6,1416.98
14256,2010-12-10,1,523.86
18178,2010-12-10,1,300.65
18065,2010-12-10,2,345.02
14952,2010-12-10,1,686.16
13148,2010-12-10,1,309.4
12989,2010-12-10,1,202.5
14107,2010-12-10,1,363.24
15529,2010-12-10,1,25.8
17865,2010-12-10,1,756.45
17220,2010-12-10,1,317.5
17076,2010-12-10,1,151.5
16565,2010-12-10,1,173.7
16873,2010-12-10,1,2157.64
14062,2010-12-10,1,966.62
17243,2010-12-12,1,338.6
17126,2010-12-12,2,202.65
12753,2010-12-12,1,3590.59
16010,2010-12-12,1,110.1
17085,2010-12-12,2,441.39
13668,2010-12-12,1,177.66
17188,2010-12-12,1,513.64
13959,2010-12-12,1,214.74
16665,2010-12-12,1,135.4
15454,2010-12-12,1,179.1
14608,2010-12-12,1,204
16210,2010-12-13,1,539.2
13198,2010-12-13,1,384.55
13209,2010-12-13,1,318.85
17428,2010-12-13,1,540.95
13999,2010-12-13,1,302.1
13408,2010-12-13,1,689.04
14085,2010-12-13,2,478.49
14544,2010-12-13,1,1121.92
17179,2010-12-13,1,243
13269,2010-12-13,1,310.74
17937,2010-12-13,1,760.32
17371,2010-12-13,1,97.63
15194,2010-12-13,1,309.05
15159,2010-12-13,2,1860.98
15777,2010-12-13,1,365.55
14525,2010-12-13,1,462.3
13324,2010-12-14,1,650.1
14829,2010-12-14,2,103.36
16143,2010-12-14,1,-5.1
15093,2010-12-14,1,-179.15
18075,2010-12-14,1,198.95
14524,2010-12-14,1,275.45
15602,2010-12-14,2,0
16782,2010-12-14,1,-12.75
13267,2010-12-14,1,293.85
16262,2010-12-14,1,-31.65
13769,2010-12-14,1,-1.7
14057,2010-12-14,2,925.92
16191,2010-12-14,2,627.6
16033,2010-12-14,1,154.05
16805,2010-12-14,1,214.77
13102,2010-12-14,1,357.1
17757,2010-12-14,1,115.35
13097,2010-12-14,1,304.9
12867,2010-12-14,2,354.54
13846,2010-12-14,1,411.4
12797,2010-12-14,2,-59.85
16233,2010-12-14,1,-92.65
13102,2010-12-09,1,316.82
15689,2010-12-13,1,103.5
15640,2010-12-13,1,1485.78
13802,2010-12-14,1,-117.45
17629,2010-12-15,1,238.65
16556,2010-12-14,1,310.85
13611,2010-12-15,1,303.15
17449,2010-12-15,1,684.26
15950,2010-12-15,1,428.82
16003,2010-12-15,1,1181
16353,2010-12-15,1,102
15005,2010-12-15,1,247.91
13089,2010-12-15,1,755.3
16365,2010-12-15,1,228.6
12947,2010-12-15,1,-29.85
16525,2010-12-16,1,391
,2010-12-16,8,322.82
13317,2010-12-16,2,238.05
13890,2010-12-16,1,190.35
12748,2010-12-16,4,273.73
13198,2010-12-14,1,-10.95
12928,2010-12-15,1,392.34
15290,2010-12-15,1,219.6
14829,2010-12-15,1,-7.9
13093,2010-12-16,2,2996.11
16029,2010-12-16,2,8361.6
13468,2010-12-16,1,328.77
17062,2010-12-16,2,137.4
14309,2010-12-16,1,147.75
18116,2010-12-16,1,172.2
17213,2010-12-16,1,-25.8
16560,2010-12-16,1,332.18
13534,2010-12-16,2,283.2
15759,2010-12-16,1,97.24
18269,2010-12-16,1,-29.7
13267,2010-12-16,1,-17
18065,2010-12-16,1,-12.75
16271,2010-12-16,1,133.22
16816,2010-12-16,1,75.78
16684,2010-12-16,2,739.26
15197,2010-12-16,1,556.5
17392,2010-12-16,1,312.41
14723,2010-12-16,1,220.06
14985,2010-12-16,1,124.51
13854,2010-12-17,1,300.04
13627,2010-12-17,1,311.19
15291,2010-12-17,1,320.1
12417,2010-12-17,1,291.34
12431,2010-12-17,1,415.7
15811,2010-12-17,1,148.95
13869,2010-12-17,1,323.62
15856,2010-12-17,1,741.22
17343,2010-12-19,1,193.64
14099,2010-12-20,1,383.52
14527,2010-12-20,2,124.97
14083,2010-12-20,2,150.35
15358,2010-12-22,1,-4.65
13304,2010-12-23,1,300.42
17975,2011-01-04,1,431.88
12578,2011-01-05,1,-7.65
16033,2011-01-05,1,481.14
13225,2011-01-05,1,1263.72
16567,2011-01-07,1,557.56
12481,2011-01-07,1,603.09
13593,2011-01-07,1,559.85
17095,2011-01-09,1,313.15
14800,2011-01-09,1,537.99
14911,2011-01-09,1,258
14189,2011-01-05,1,364.8
15044,2011-01-10,1,263
16191,2011-01-11,1,-8.4
17324,2011-01-12,1,575.18
12437,2011-01-12,1,392.7
13093,2011-01-13,1,898.5
13782,2011-01-16,1,191.94
12989,2011-01-16,1,810
17064,2011-01-16,1,147.85
16670,2011-01-17,1,5.9
14428,2011-01-18,1,203.55
12625,2011-01-24,1,1716.62
15222,2011-01-25,1,585
18077,2011-01-25,1,315.13
14970,2011-01-27,1,337.5
14606,2011-02-01,4,157.4
16515,2011-02-01,1,320.51
13113,2011-02-04,2,735.6
14293,2011-02-07,1,143.1
15602,2011-02-10,1,-12.75
,2010-12-02,7,431.85
12841,2010-12-05,1,211.74
16029,2010-12-02,1,569.4
16455,2010-12-03,2,381.3
16241,2010-12-05,1,277.65
13145,2010-12-02,1,295
14083,2010-12-03,1,309.54
17243,2010-12-05,1,256.9
16931,2010-12-05,1,152.05
17796,2010-12-05,1,114.65
18156,2010-12-05,1,206.23
15570,2010-12-05,1,517.65
15808,2010-12-05,1,1021.45
16186,2010-12-02,1,307.68
17412,2010-12-02,1,197.3
17198,2010-12-03,1,272.01
16725,2010-12-03,1,122.15
16891,2010-12-03,1,232.26
14898,2010-12-03,1,98.5
13295,2010-12-02,1,-3.25
15373,2010-12-03,1,334.3
16402,2010-12-05,1,211.8
15235,2010-12-05,1,85.55
12747,2010-12-05,1,358.56
13174,2010-12-05,1,1415.97
15898,2010-12-06,1,382.69
17691,2010-12-06,1,142.5
17227,2010-12-06,1,142.25
14189,2010-12-06,1,311.24
14867,2010-12-06,1,-8.95
12748,2010-12-06,2,215.19
14825,2010-12-06,1,184.1
17596,2010-12-06,1,392.62
14085,2010-12-06,1,308.05
13155,2010-12-06,1,379.7
13468,2010-12-06,1,222.18
16658,2010-12-06,1,123.24
15426,2010-12-06,1,-4.95
17191,2010-12-06,3,510.11
15502,2010-12-06,4,-192.7
15194,2010-12-06,1,406.16
14409,2010-12-06,3,177.6
16138,2010-12-06,1,-7.95
17884,2010-12-06,1,137.11
13495,2010-12-06,1,510.95
17218,2010-12-06,1,292.54
17812,2010-12-06,1,217.55
17869,2010-12-06,1,214.32
,2010-12-07,32,-8066.94
17511,2010-12-07,2,1568.62
15649,2010-12-07,1,510
17228,2010-12-07,1,172.65
12681,2010-12-07,1,1033.52
15838,2010-12-07,1,957.5
13319,2010-12-07,1,-28.15
15353,2010-12-07,1,311.65
18119,2010-12-07,1,181.12
14282,2010-12-07,1,571
13569,2010-12-07,1,118.32
13488,2010-12-07,1,1381.92
15180,2010-12-07,1,87.5
17897,2010-12-07,1,268.73
16863,2010-12-08,1,164.25
13050,2010-12-08,1,328.01
12386,2010-12-08,1,258.9
17706,2010-12-08,3,477.83
16122,2010-12-08,1,105.72
13126,2010-12-08,2,223.44
15100,2010-12-08,1,350.4
15021,2010-12-08,2,198.99
15529,2010-12-08,1,295.66
15498,2010-12-08,2,976.72
16233,2010-12-08,1,147.4
15032,2010-12-08,2,2770.6
18061,2010-12-08,1,405.16
16553,2010-12-08,1,-4.25
15221,2010-12-08,1,403.25
12748,2010-12-08,3,367.52
13495,2010-12-08,1,-54.75
18259,2010-12-08,1,376.3
13270,2010-12-08,1,590
13848,2010-12-08,1,320
13140,2010-12-08,1,159.51
15713,2010-12-08,1,171.15
17340,2010-12-08,2,2404.15
13984,2010-12-08,1,154.8
16596,2010-12-08,1,120.65
12971,2010-12-08,1,111.53
16011,2010-12-08,1,237.95
17655,2010-12-08,1,676.1
14243,2010-12-09,1,213.3
12963,2010-12-09,1,365.8
12942,2010-12-09,1,258.75
14299,2010-12-09,1,429.24
12755,2010-12-09,1,3794.4
12797,2010-12-09,1,254.03
13369,2010-12-09,1,308.28
13090,2010-12-09,2,847.8
14355,2010-12-09,1,174.4
14911,2010-12-09,1,945.55
17526,2010-12-09,1,226.8
17062,2010-12-09,1,114.79
18269,2010-12-08,1,168.6
14866,2010-12-08,1,103.68
12433,2010-12-08,1,1867.98
12748,2010-12-09,3,136.2
14205,2010-12-09,1,-238.2
,2010-12-05,1,3.35
17674,2010-12-06,1,300.66
17841,2010-12-06,1,406.69
17091,2010-12-07,1,293.45
15498,2010-12-07,1,-281
13786,2010-12-07,1,230.4
16950,2010-12-07,1,172
15898,2010-12-07,1,139
16125,2010-12-07,1,289.35
12921,2010-12-08,1,365.4
13983,2010-12-08,1,329.36
18043,2010-12-08,1,316.46
14299,2010-12-08,1,-209
12870,2010-12-08,1,-14.9
15680,2010-12-08,1,478.89
13115,2010-12-08,1,-5
12481,2010-12-09,1,159.38
12721,2010-12-09,1,-27.15
14527,2010-12-09,1,224.38
16065,2010-12-09,1,372.09
15856,2010-12-09,1,1571.32
17519,2010-12-06,1,335.3
14766,2010-12-08,1,180.4
14987,2010-12-09,1,163.2
18102,2010-12-09,1,1914.24
15738,2010-12-09,1,-2.95
17978,2010-12-09,1,300.92
16795,2010-12-09,1,414.88
13021,2010-12-09,1,-20.28
13777,2010-12-09,1,-42
17339,2010-12-09,1,60
13117,2010-12-09,1,186.03
14441,2010-12-09,1,-8.5
16579,2010-12-09,1,-30.6
15380,2010-12-09,1,230.1
14047,2010-12-09,1,-9.3
16042,2010-12-09,1,-24.95
17307,2010-12-09,1,-152.64
15811,2010-12-09,1,289.85
17700,2010-12-09,1,-9.85
17017,2010-12-09,1,144.5
15535,2010-12-09,1,-12.75
12605,2010-12-09,1,-7.5
15329,2010-12-09,1,-17.7
16163,2010-12-09,1,441.6
14031,2010-12-09,2,183.87
14702,2010-12-09,1,318.7
13230,2010-12-09,1,93.45
,2010-12-10,13,25399.56
17696,2010-12-10,2,175.6
17827,2010-12-10,3,1271.8
16265,2010-12-10,2,840.81
17880,2010-12-10,1,458.92
13000,2010-12-10,1,201.75
15723,2010-12-10,1,203.1
17690,2010-12-10,1,239.7
14543,2010-12-10,1,254.4
18116,2010-12-10,1,139.68
16019,2010-12-10,1,219.1
14911,2010-12-10,1,1156.05
15881,2010-12-10,1,114.45
12785,2010-12-10,1,311.95
16727,2010-12-10,1,272.82
15514,2010-12-10,5,401.92
13448,2010-12-10,2,360.38
13787,2010-12-10,1,106.4
16519,2010-12-09,1,103.7
17456,2010-12-09,1,249.86
15211,2010-12-09,1,383.07
14037,2010-12-10,1,111.8
15179,2010-12-10,1,-16.5
18016,2010-12-10,1,156.65
14448,2010-12-10,1,102.35
18109,2010-12-12,1,275.3
16923,2010-12-12,2,540.05
15570,2010-12-12,1,350.24
16779,2010-12-12,2,315.92
16393,2010-12-12,2,90.1
15224,2010-12-12,2,0
14577,2010-12-12,1,346.9
16367,2010-12-12,1,170.91
17917,2010-12-12,1,110.91
